name,male_cnt,female_cnt
Amaro,46,0
Amaron,5,0
Amarr,48,0
Amarre,39,0
Amarri,235,208
Amarrion,108,0
Amartya,23,0
Amaru,383,0
Amary,5,40
Amaryon,12,0
Amaud,29,0
Amaure,18,0
Amauri,1034,442
Amaurie,85,68
Amaurion,51,0
Amauris,21,0
Amaury,736,5
Amaurys,10,0
Amay,77,0
Amaya,12,22297
Amaziah,180,77
Amber,70,42209
Ambrose,858,0
Ambrosio,72,0
Amdrew,5,0
Amear,54,0
Amechi,6,0
Amed,40,0
Amedeo,39,0
Ameen,726,0
Ameer,2428,0
Ameil,5,0
Ameir,366,0
Ameire,5,0
Amel,217,216
Amelia,60,69030
Amelio,110,0
Amen,352,234
Amer,530,0
Amere,548,120
Ameri,6,98
Americo,150,0
Amerion,27,0
Amerson,5,0
Amery,43,308
Ames,232,0
Amey,27,17
Ameya,153,420
Ami,230,985
Amias,186,0
Amichai,34,0
Amid,10,0
Amiel,325,51
Amier,351,0
Amiere,69,7
Amiin,5,0
Amiir,61,0
Amil,227,221
Amilcar,326,0
Amileo,11,0
Amiliano,31,0
Amilio,98,0
Amillio,36,0
Amillion,73,140
Amin,1146,0
Amine,253,0
Amir,16451,258
Amirali,12,0
Amirbek,5,0
Amire,418,78
Amiri,364,92
Amirjon,12,0
Amirr,49,0
Amish,79,0
Amit,624,111
Amitai,96,0
Amith,23,0
Amitoj,19,0
Amjad,195,0
Amjed,23,0
Ammaar,151,0
Amman,56,0
Ammanuel,33,0
Ammar,1197,0
Ammiel,47,0
Ammon,1554,0
Amner,33,0
Amod,26,0
Amogh,500,0
Amol,60,0
Amon,668,0
Amond,24,0
Amondre,23,0
Amoni,121,700
Amont,5,0
Amonta,5,0
Amontae,147,0
Amontay,13,0
Amonte,413,0
Amonti,50,5
Amor,201,719
Amore,120,532
Amori,173,236
Amorie,41,175
Amorion,49,0
Amory,176,214
Amos,3033,0
Amour,23,192
Amouri,14,5
Amoz,17,0
Amr,506,0
Amram,38,0
Amran,26,140
Amren,10,0
Amrik,6,0
Amrit,267,185
Amrith,5,0
Amritpal,33,0
Amro,115,0
Amrom,163,0
Amron,35,0
Amruth,5,0
Amryn,6,41
Amun,23,0
Amuri,5,0
Amy,73,39844
Amyas,27,0
Amyr,112,0
Amyre,12,67
Amyrion,6,0
An,329,449
Ana,64,30356
Anael,15,70
Anagh,5,0
Anahi,21,11294
Anaiah,12,1548
Anaias,11,0
Anais,25,3245
Anajee,6,0
Anakin,1604,0
Analu,10,0
Anan,37,5
Anand,532,0
Ananda,31,796
Anania,11,0
Ananias,178,0
Anant,136,0
Ananth,128,0
Anar,31,0
Anari,18,423
Anas,1074,0
Anass,24,0
Anastacio,195,0
Anastasia,5,16065
Anastasio,15,0
Anastasios,218,0
Anatole,5,0
Anatoli,6,0
Anatoliy,32,0
Anatoly,11,0
Anav,13,0
Anay,622,501
Ancel,50,0
Ancelmo,17,0
Anchor,23,0
Andan,25,0
Andarius,19,0
Anddy,55,0
Ande,10,83
Andel,12,0
Anden,557,0
Ander,592,0
Anders,2624,0
Andersen,473,132
Anderson,11476,453
Andersson,47,0
Anderzon,16,0
Andi,524,1783
Andie,72,1889
Andin,53,5
Andino,7,0
Andis,5,0
Andols,5,0
Andon,891,0
Andoni,96,0
Andony,23,0
